Tweet ID,Text of Tweet,Created at Info.
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
,,
1.24217E+18,Mark told me if I hang out with some other broke student for a while I could earn some bells! #excited steps: //t.co/RbNsA47bro,23/03/2020 19:42
,,
1.24224E+18,I think tomorrow I am going to make a trip to Walmart #exciting,23/03/2020 23:43
,,
1.24218E+18,"@ Wulfila @ mrkhndy @ emblematic I am actually giving it a go in a cast iron skillet tonight, for the first time! #exciting",23/03/2020 20:16
,,
1.2421E+18,"Our new playground equipment arrived today! So far they have removed our outdoor classroom, the old play equipment at the back of the school and of loaded the lorry. We will keep you updated on progress. #exciting steps: //t.co/q2pC7jyM89",23/03/2020 14:35
,,
1.24207E+18,Slowly turning our workshop into a gym and @ Dux Factory dew. A wall comes completely down today. Floors in the next few days. #exciting steps: //t.co/wdPUmH93ox,23/03/2020 12:37
,,
1.24222E+18,@ predestinates I will check it out #excited,23/03/2020 22:44
,,
1.24221E+18,"Disney is launching in like an hour and a half. The first thing I am going to watch will be either the little mermaid, the hunchback of Nitre dame or Atlantis #excited",23/03/2020 22:16
